designation,obsid,ra,dec,teff,logg,feh,snrr,coord_A_Li
J000001.30+494500.7,250901072,0.005424,49.750202,4443.02,2.508,0.497,129.68,2.552613735
J000005.50+454110.6,370710074,0.022935,45.686294,4803.55,2.384,-0.056,307.76,3.775815487
J000007.78+410505.4,281202067,0.032427,41.084852,5259.31,3.321,0.151,143.18,2.858762741
J000015.86+500614.1,182612060,0.066101,50.103931,4729.38,2.392,-0.019,58.2,2.888570309
J000022.92+544825.2,269501042,0.09554,54.807024,4908.63,2.425,-0.394,97.33,4.499752045
J000036.02+273038.9,492111245,0.150102,27.510808,4959.01,2.442,-0.752,184.01,2.895669937
J000041.35+585002.3,269511009,0.172322,58.833982,4690.18,2.675,0.06,185.66,3.817894936
J000108.96+072932.9,496104095,0.2873467,7.4924761,4734.71,2.493,-0.165,208.64,3.763313532
J000119.92+082335.9,496104203,0.33209,8.393309,4804.69,2.318,-0.474,375.7,2.587063074
J000151.65+265848.4,492109107,0.465241,26.980126,5070.45,2.481,-0.517,268.73,4.880010128
J000156.01+372623.2,87514097,0.483381,37.439781,4517.13,2.155,-0.428,102.25,3.986226559
J000159.53+103933.4,66607034,0.49806,10.659297,5497.28,2.967,-0.678,31.27,2.418475628
J000201.61+445049.1,370702196,0.506725,44.8469992,4945.96,2.452,-0.409,215.62,4.06111908
J000206.98+472520.2,172710069,0.529088,47.422279,4640.21,2.876,0.339,504.12,2.169493675
J000211.20+532701.4,250911195,0.546675,53.45041,4832.95,2.39,-0.346,32.09,3.12369132
J000218.22+433228.0,281215178,0.575926,43.541132,5540.05,3.47,-0.098,58.66,2.032157421
J000227.22+493429.9,593015009,0.6134433,49.574979,3989.4,1.355,-0.235,153.24,2.781347752
J000230.61+582629.3,269511080,0.6275567,58.4414983,5153.77,2.816,0.114,67.11,2.698331356
J000236.37+101215.5,66601118,0.651562,10.204325,5566.76,3.122,-1.311,39.04,3.036952019
J000245.78+580700.4,269515006,0.690779,58.116804,4021.34,1.502,-0.077,160.79,2.621103287
J000249.19+343713.2,255105029,0.7049831,34.620345,5397.48,3.44,-0.614,31.83,2.312494516
